player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,PO,TOR,320,167,-3.408424852709171,-1.111011059269502,-4.519435911978674,1.734822132384045,.5283437174171761,2.263165849801221,-2.539657112290808,-.7470004039257629,-3.286657516216571,-.0469998523741105,0,-.0469998523741105,-3.950305152368657,-.4438093528186051,-4.394114505187262,-.3282833148727417
Precious Achiuwa,achiupr01,2022,RS,TOR,3482,1725,-2.439765889485505,2.03011713366207,-.4096487558234352,-2.002045943823562,3.342196704538892,1.34015076071533,-2.515064665122067,2.412286804726115,-.1027778603959519,2.312006742582809,2.312006742582809,0,-2.34566407951732,2.253659228357478,-.0920048511598424,-.7640434405407458
Steven Adams,adamsst01,2022,PO,MEM,245,114,.4382867690366291,-1.014049733189184,-.5757629641525546,6.382233629926692,-6.957473913155583,-.5752402832288919,1.677212045679953,-2.400862247362529,-.7236502016825754,.1215861908563595,0,.1215861908563595,.5668238458546855,-2.895964031328053,-2.329140185473367,.0255706107688713
Steven Adams,adamsst01,2022,RS,MEM,4147,1999,.4703199781739529,1.487566834633588,1.957886812807541,6.285770120379137,-2.943941084371537,3.3418290360076,1.684080249212989,.6169887900783527,2.301069039291342,5.138262506220031,5.138262506220031,0,1.416492868325081,1.788253218497836,3.204746086822916,-.2576255448084974
Bam Adebayo,adebaba01,2022,PO,MIA,1197,614,-.2620437376460178,3.630616139348591,3.368572401702573,5.080647873760578,1.392216147426224,6.472864021186802,.811850147786206,3.302175351104836,4.114025498891041,2.181907477225576,0,2.181907477225576,.1530251052636806,3.349601887537347,3.502626992801028,-1.569036803754245
Bam Adebayo,adebaba01,2022,RS,MIA,3696,1825,-.4426323574942281,3.763098612261224,3.320466254766996,.707643718298665,4.166012954510575,4.87365667280924,-.2520002818880969,4.036353381046992,3.784353099158896,6.105835922266809,6.105835922266809,0,.3764744955105656,3.446684162855492,3.823158658366058,.3550546503699027
Santi Aldama,aldamsa01,2022,RS,MEM,763,360,-2.580509878273813,-2.410879281018179,-4.991389159291992,-2.711660930433285,1.170712285368887,-1.540948645064398,-2.807453447299008,-1.856445280351369,-4.663898727650377,-.3527877085217149,-.3527877085217149,0,-1.641796412157167,-2.273686354894942,-3.915482767052109,.3579037170148434
LaMarcus Aldridge,aldrila01,2022,RS,BRK,2205,1050,-.5149319630350354,2.24804562284065,1.733113659805615,1.094603080475868,-.458422668120521,.6361804123553467,-.2401056512487099,1.833733629526306,1.593627978277596,2.32166465996771,2.32166465996771,0,.2935355512031178,.8474098100597779,1.140945361262896,-.2260681112077799
Nickeil Alexander-Walker,alexani01,2022,PO,UTA,12,5,25.74343705010494,9.410146050006899,35.15358310011184,3.943959130314755,11.52444797222761,15.46840710254236,22.87471544128379,10.48454564884353,33.35926109012732,.0965120860334116,0,.0965120860334116,15.73163930080215,9.284084413860345,25.01572371466249,1.544792896129713
Nickeil Alexander-Walker,alexani01,2022,RS,UTA,308,149,-2.292789138629285,1.310205398942116,-.9825837396871686,-.0122429071338926,.5903262120446984,.5780833049108058,-2.044212179445401,1.189808795185197,-.8544033842602037,.1449555042735012,.1449555042735012,0,-1.749235234542753,.133337018343774,-1.615898216198979,.5916975183158191
Nickeil Alexander-Walker,alexani01,2022,RS,NOP,2717,1317,-1.531336061545924,-1.541581602146986,-3.072917663692911,-2.698120145347882,-1.187331229430281,-3.885451374778163,-1.85154833788159,-1.547506382887959,-3.399054720769549,-.4391452862221999,-.4391452862221999,0,-.7000576520892885,-1.524151020994693,-2.224208673083981,.693345178145104
Grayson Allen,allengr01,2022,PO,MIL,644,305,-.3124512205978606,1.028573537320887,.7161223167230265,-4.690894644968163,-3.107277452289613,-7.798172097257775,-1.205877331323661,.0912572913286429,-1.114620039995018,.2644990021103837,0,.2644990021103837,-2.155359197113512,.0580446205778019,-2.097314576535711,.754354431239883
Grayson Allen,allengr01,2022,RS,MIL,3824,1805,.5753030244404304,-.5349711384631157,.0403318859773146,-.0056920069312205,1.844670761443731,1.838978754512511,.4571224729887514,-.0912381439259613,.3658843290627901,2.866600340872918,2.866600340872918,0,.4005312355650133,-.3386653937927657,.0618658417722476,-.0993881130210987
Jarrett Allen,allenja01,2022,RS,CLE,3667,1809,.2205021634449576,4.271096003158649,4.491598166603607,.0303239204048609,2.345192781533085,2.375516701937946,.1952381858735218,4.087093728695481,4.282331914569003,6.459432488981342,6.459432488981342,0,-.0529592143009982,3.469715618696457,3.416756404395458,-.4787271455264631
Jose Alvarado,alvarjo01,2022,PO,NOP,230,117,-.6202343361212507,.9215586877883754,.3013243516671247,-11.81340262081691,2.206794060297244,-9.606608560519668,-3.106495510105382,1.288871954653815,-1.817623555451567,.0571848606914431,0,.0571848606914431,-.8323505873461885,2.204571912739079,1.37222132539289,-.3682118198070953
Jose Alvarado,alvarjo01,2022,RS,NOP,1749,834,.8371454892620809,4.39971821603597,5.236863705298052,1.384499689321445,4.697724332089087,6.082224021410532,1.005254016011517,4.74125763932263,5.746511655334148,3.610218950313204,3.610218950313204,0,.6611560356744035,4.260439128959728,4.921595164634132,-.141195714728808
